maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss
gest:PAUSENPOSITION,0,0,100%,0.2,,
num:11,0,0,100%,0.5,,
num:12,0,0,100%,0.5,,
num:13,0,0,100%,0.5,,
num:14,0,0,100%,0.5,,
num:15,0,0,100%,0.5,,
num:16,0,0,100%,0.5,,
num:17,0,0,100%,0.5,,
num:18,0,0,100%,0.5,,
num:19,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
num:20,0,0,100%,0.5,,
num:22,0,0,100%,0.5,,
num:30,0,0,100%,0.5,,
num:33,0,0,100%,0.5,,
num:40,0,0,100%,0.5,,
num:44,0,0,100%,0.5,,
num:50,0,0,100%,0.5,,
num:55,0,0,100%,0.5,,
num:60,0,0,100%,0.5,,
num:66,0,0,100%,0.5,,
num:70,0,0,100%,0.5,,
num:77,0,0,100%,0.5,,
num:80,0,0,100%,0.5,,
num:88,0,0,100%,0.5,,
num:90,0,0,100%,0.5,,
num:99,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
gest:PAUSENPOSITION,0,0,100%,0.4,,
